SKU1,DESCRIPCION2,MARCA3,AROMA4,COD. COLOR5,DESCRIP. DE COLOR6,DESCRIPCION IMPRESA7,CONTADOR8,COLECTIVA9,CORRUGADO10,UNITARIO11,COLECTIVA12,CORRUGADO13,14,DESCRIPCION_LARGA_CORRUGADO15,DESCRIPCION_LARGA_COLECTIVA16,DESCRIPCION_LARGA_SKU17,AVAILABLE18,UM19,AVERAGE_COST20
2010010616,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,616,ROSA,MARIPOSA PASTILLA 32G,21,,100,7501130510122,N/A,17501130510129,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 616 ROSA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 616 ROSA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 616 ROSA,2811,PZ,1.10254
2010010618,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,618,NARANJA,MARIPOSA PASTILLA 32G,21,,100,7501130510146,N/A,17501130510143,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 618 NARANJA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 618 NARANJA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 618 NARANJA,5931,PZ,1.29794
2010010623,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,623,AZUL CLARO,MARIPOSA PASTILLA 32G,21,,100,7501130510177,N/A,17501130510174,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 623 AZUL CLARO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 623 AZUL CLARO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 623 AZUL CLARO,5011,PZ,0.90008
2010010624,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,624,ROJO CLARO,MARIPOSA PASTILLA 32G,21,,100,7501130510184,N/A,17501130510181,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 624 ROJO CLARO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 624 ROJO CLARO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 624 ROJO CLARO,8029,PZ,1.61113
2010010626,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,626,CASTAÑO OSCURO,MARIPOSA PASTILLA 32G,21,,100,7501130510207,N/A,17501130510204,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 626 CASTAÑO OSCURO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 626 CASTAÑO OSCURO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 626 CASTAÑO OSCURO,13524,PZ,1.57426
2010010627,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,627,VIOLETA AZULADO,MARIPOSA PASTILLA 32G,21,,100,7501130510214,N/A,17501130510211,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 627 VIOLETA AZULADO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 627 VIOLETA AZULADO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 627 VIOLETA AZULADO,9657,PZ,1.6209
2010010628,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,628,AZUL OSCURO,MARIPOSA PASTILLA 32G,21,,100,7501130510221,N/A,17501130510228,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 628 AZUL OSCURO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 628 AZUL OSCURO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 628 AZUL OSCURO,14142,PZ,1.80392
2010010632,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,632,AZUL DE AZUR,MARIPOSA PASTILLA 32G,21,,100,7501130510245,N/A,17501130510242,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 632 AZUL DE AZUR,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 632 AZUL DE AZUR, COLORANTE MARIPOSA PASTILLA 32 GRS --- 632 AZUL DE AZUR,3107,PZ,1.55593
2010010646,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,646,BEIGE,MARIPOSA PASTILLA 32G,21,,100,7501130510283,N/A,17501130510280,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 646 BEIGE,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 646 BEIGE, COLORANTE MARIPOSA PASTILLA 32 GRS --- 646 BEIGE,8749,PZ,0.80867
2010010655,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,655,AZUL MEZCLILLA,MARIPOSA PASTILLA 32G,21,,100,7501130511747,N/A,17501130511744,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 655 AZUL MEZCLILLA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 655 AZUL MEZCLILLA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 655 AZUL MEZCLILLA,12813,PZ,1.11513
2010010656,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,656,AZUL OSCURO MEZCLILLA,MARIPOSA PASTILLA 32G,21,,100,7501130560004,N/A,17501130560001,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 656 AZUL OSCURO MEZCLILLA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 656 AZUL OSCURO MEZCLILLA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 656 AZUL OSCURO MEZCLILLA,5252,PZ,1.74045
2010010667,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,667,VERDE ULTRAMAR,MARIPOSA PASTILLA 32G,21,,100,7501130510320,N/A,17501130510327,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 667 VERDE ULTRAMAR,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 667 VERDE ULTRAMAR, COLORANTE MARIPOSA PASTILLA 32 GRS --- 667 VERDE ULTRAMAR,2293,PZ,1.37551
2010010668,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,668, TILO,MARIPOSA PASTILLA 32G,21,,100,7501130510337,N/A,17501130510334,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 668  TILO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 668  TILO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 668  TILO,3460,PZ,0.69756
2010010675,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,675,KHAKI,MARIPOSA PASTILLA 32G,21,,100,7501130510344,N/A,17501130510341,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 675 KHAKI,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 675 KHAKI, COLORANTE MARIPOSA PASTILLA 32 GRS --- 675 KHAKI,5135,PZ,1.16702
2010021601A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,601,NEGRO,MARIPOSA CRISTALES 32G,22,10,100,7501130525096,17501130525093,27501130525090,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 601 NEGRO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 601 NEGRO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 601 NEGRO,121202,PZ,1.78052
2010021602A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,602,NEGRO MEZCLILLA,MARIPOSA CRISTALES 32G,22,10,100,7501130525102,17501130525109,27501130525106,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 602 NEGRO MEZCLILLA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 602 NEGRO MEZCLILLA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 602 NEGRO MEZCLILLA,2426,PZ,2.12496
2010021604A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,604,ROJO ESCARLATA,MARIPOSA CRISTALES 32G,22,10,100,7501130525119,17501130525116,27501130525113,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 604 ROJO ESCARLATA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 604 ROJO ESCARLATA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 604 ROJO ESCARLATA,17134,PZ,1.85484
2010021605A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,605,ROJO OSCURO,MARIPOSA CRISTALES 32G,22,10,100,7501130525126,17501130525123,27501130525120,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 605 ROJO OSCURO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 605 ROJO OSCURO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 605 ROJO OSCURO,7583,PZ,2.04688
2010021606A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,606,AZUL MARINO,MARIPOSA CRISTALES 32G,22,10,100,7501130525133,17501130525130,27501130525137,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 606 AZUL MARINO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 606 AZUL MARINO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 606 AZUL MARINO,84342,PZ,2.10413
2010021608A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,608,GRIS OSCURO,MARIPOSA CRISTALES 32G,22,10,100,7501130525140,17501130525147,27501130525144,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 608 GRIS OSCURO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 608 GRIS OSCURO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 608 GRIS OSCURO,10499,PZ,1.66257
2010021610A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,610,VERDE OSCURO,MARIPOSA CRISTALES 32G,22,10,100,7501130525157,17501130525154,27501130525151,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 610 VERDE OSCURO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 610 VERDE OSCURO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 610 VERDE OSCURO,9176,PZ,2.01288
2010021611A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,611,CASTAÑO CLARO,MARIPOSA CRISTALES 32G,22,10,100,7501130525164,17501130525161,27501130525168,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 611 CASTAÑO CLARO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 611 CASTAÑO CLARO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 611 CASTAÑO CLARO,5404,PZ,1.57246
2010021612A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,612,AMARILLO,MARIPOSA CRISTALES 32G,22,10,100,7501130525171,17501130525178,27501130525175,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 612 AMARILLO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 612 AMARILLO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 612 AMARILLO,8456,PZ,2.49388
2010021613A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,613,ROSA MEXICANO,MARIPOSA CRISTALES 32G,22,10,100,7501130515004,17501130515001,27501130515008,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 613 ROSA MEXICANO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 613 ROSA MEXICANO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 613 ROSA MEXICANO,27598,PZ,2.44011
2010021616A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,616,ROSA,MARIPOSA CRISTALES 32G,22,10,100,7501130525188,17501130525185,27501130525182,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 616 ROSA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 616 ROSA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 616 ROSA,8687,PZ,1.48347
2010021618A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,618,NARANJA,MARIPOSA CRISTALES 32G,22,10,100,7501130525195,17501130525192,27501130525199,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 618 NARANJA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 618 NARANJA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 618 NARANJA,7016,PZ,1.53801
2010021623A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,623,AZUL CLARO,MARIPOSA CRISTALES 32G,22,10,100,7501130525218,17501130525215,27501130525212,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 623 AZUL CLARO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 623 AZUL CLARO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 623 AZUL CLARO,32838,PZ,1.44364
2010021624A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,624,ROJO CLARO,MARIPOSA CRISTALES 32G,22,10,100,7501130525225,17501130525222,27501130525229,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 624 ROJO CLARO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 624 ROJO CLARO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 624 ROJO CLARO,11065,PZ,2.0662
2010021626A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,626,CASTAÑO OSCURO,MARIPOSA CRISTALES 32G,22,10,100,7501130525249,17501130525246,27501130525243,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 626 CASTAÑO OSCURO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 626 CASTAÑO OSCURO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 626 CASTAÑO OSCURO,17274,PZ,1.86433
2010021627A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,627,VIOLETA AZULADO,MARIPOSA CRISTALES 32G,22,10,100,7501130525256,17501130525253,27501130525250,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 627 VIOLETA AZULADO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 627 VIOLETA AZULADO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 627 VIOLETA AZULADO,8072,PZ,2.4035
2010021628A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,628,AZUL OSCURO,MARIPOSA CRISTALES 32G,22,10,100,7501130525263,17501130525260,27501130525267,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 628 AZUL OSCURO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 628 AZUL OSCURO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 628 AZUL OSCURO,8252,PZ,2.40804
2010021632A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,632,AZUL DE AZUR,MARIPOSA CRISTALES 32G,22,10,100,7501130525270,17501130525277,27501130525274,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 632 AZUL DE AZUR,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 632 AZUL DE AZUR,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 632 AZUL DE AZUR,4826,PZ,1.91923
2010021646A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,646,BEIGE,MARIPOSA CRISTALES 32G,22,10,100,7501130525287,17501130525284,27501130525281,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 646 BEIGE,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 646 BEIGE,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 646 BEIGE,7648,PZ,1.45287
2010021655A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,655,AZUL MEZCLILLA,MARIPOSA CRISTALES 32G,22,10,100,7501130525294,17501130525291,27501130525298,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 655 AZUL MEZCLILLA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 655 AZUL MEZCLILLA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 655 AZUL MEZCLILLA,9011,PZ,1.53727
2010021656A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,656,AZUL OSCURO MEZCLILLA,MARIPOSA CRISTALES 32G,22,10,100,7501130525300,17501130525307,27501130525304,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 656 AZUL OSCURO MEZCLILLA,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 656 AZUL OSCURO MEZCLILLA,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 656 AZUL OSCURO MEZCLILLA,4776,PZ,2.64338
2010021667A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,667,VERDE ULTRAMAR,MARIPOSA CRISTALES 32G,22,10,100,7501130525317,17501130525314,27501130525311,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 667 VERDE ULTRAMAR,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 667 VERDE ULTRAMAR,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 667 VERDE ULTRAMAR,15180,PZ,2.02676
2010021668A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,668,TILO,MARIPOSA CRISTALES 32G,22,10,100,7501130582198,17501130582195,27501130582192,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 668 TILO,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 668 TILO,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 668 TILO,4444,PZ,1.32255
2010021675A,COLORANTE MARIPOSA CRISTALES 32 GRS,MARIPOSA,---,675,KAKHI,MARIPOSA CRISTALES 32G,22,10,100,7501130577293,17501130577290,27501130577297,,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 675 KAKHI,COLECTIVA 10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 675 KAKHI,10 COLORANTE MARIPOSA CRISTALES 32 GRS --- 675 KAKHI,4649,PZ,1.81448
2010060101,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,101,NEGRO,MARIPOSA MULT 28G,17,10,100,7501130525386,17501130520388,27501130576061,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 101 NEGRO,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 101 NEGRO,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 101 NEGRO,8333,PZ,5.9326
2010060104,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,104,ROJO,MARIPOSA MULT 28G,17,10,100,7501130525423,17501130525420,27501130525427,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 104 ROJO,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 104 ROJO,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 104 ROJO,4327,PZ,3.63029
2010060106,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,106,AZUL MARINO,MARIPOSA MULT 28G,17,10,100,7501130525393,17501130525390,27501130525397,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 106 AZUL MARINO,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 106 AZUL MARINO,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 106 AZUL MARINO,4514,PZ,5.51245
2010060109,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,109,GRIS,MARIPOSA MULT 28G,17,10,100,7501130525430,17501130525437,27501130525434,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 109 GRIS,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 109 GRIS,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 109 GRIS,3734,PZ,3.04303
2010060110,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,110,VERDE,MARIPOSA MULT 28G,17,10,100,7501130525416,17501130525413,27501130525410,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 110 VERDE,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 110 VERDE,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 110 VERDE,2131,PZ,3.52421
2010060111,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,111,BEIGE,MARIPOSA MULT 28G,17,10,100,7501130525492,17501130525499,27501130525496,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 111 BEIGE,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 111 BEIGE,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 111 BEIGE,3770,PZ,2.57487
2010060112,COLORANTE MARIPOSA MULTIFIBRA 28 GRS,MARIPOSA,---,112,AMARILLO,MARIPOSA MULT 28G,17,10,100,7501130525454,17501130525451,27501130525458,,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 112 AMARILLO,COLECTIVA 10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 112 AMARILLO,10 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 112 AMARILLO,1177,PZ,3.60501
